Row_no,Sample_ID,Petro_no,Analysis_no,Spot_no,Distance_no,Distance_um,Tag,Age,Sr8786,Sr8786_norm,SE1,SE2,SrV,Spot_size_um,Rep_rate_hz,Dwell_time_sec,Power_percent,Analysis_date,Analysis_time
111,WEM0401062,WEM3,1,27,27,1086.49,,,0.707948353,0.708057123,0.000115211,0.000230421,2.454396686,40,10,25,77,9/6/2022,11:40 PM
112,WEM0401062,WEM3,1,28,28,1119.112,,,0.707991389,0.708100167,0.000117066,0.000234132,2.732280861,40,10,25,77,9/6/2022,11:40 PM
113,WEM0401062,WEM3,1,29,29,1150.827,,,0.707898098,0.708006861,8.11E-05,0.000162236,2.691149722,40,10,25,77,9/6/2022,11:40 PM
114,WEM0401062,WEM3,1,30,30,1185.261,,,0.707975653,0.708084428,8.51E-05,0.000170179,2.320610353,40,10,25,77,9/6/2022,11:40 PM
115,WEM0401062,WEM3,1,31,31,1229.663,,,0.707816623,0.707925373,0.000101829,0.000203658,1.971384552,40,10,25,77,9/6/2022,11:40 PM
116,WEM0401062,WEM3,1,32,32,1279.049,age 2,,0.707941529,0.708050299,8.74E-05,0.000174714,2.032090353,40,10,25,77,9/6/2022,11:40 PM
117,WEM0401062,WEM3,1,33,33,1318.014,,,0.70795846,0.708067233,8.42E-05,0.000168436,2.393930023,40,10,25,77,9/6/2022,11:40 PM
118,WEM0401062,WEM3,1,34,34,1359.698,,,0.707879997,0.707988757,8.09E-05,0.000161755,2.587847855,40,10,25,77,9/6/2022,11:40 PM
119,WEM0401062,WEM3,1,35,35,1410.443,,,0.708157833,0.708266636,5.96E-05,0.000119252,2.784333668,40,10,25,77,9/6/2022,11:40 PM
120,WEM0401062,WEM3,1,36,36,1439.893,,,0.707766828,0.707875571,0.000102679,0.000205357,2.681620028,40,10,25,77,9/6/2022,11:40 PM
121,WEM0401062,WEM3,1,37,37,1481.577,,,0.70804971,0.708158497,9.76E-05,0.000195257,2.701369121,40,10,25,77,9/6/2022,11:40 PM
122,WEM0401062,WEM3,1,38,38,1520.089,,,0.708053125,0.708161912,7.65E-05,0.000153005,2.625686408,40,10,25,77,9/6/2022,11:40 PM
123,WEM0401062,WEM3,1,39,39,1554.523,age 3,,0.707808975,0.707917725,7.28E-05,0.000145573,2.70230599,40,10,25,77,9/6/2022,11:40 PM
124,WEM0401062,WEM3,1,40,40,1595.3,,,0.708106818,0.708215613,7.75E-05,0.000154963,2.597784979,40,10,25,77,9/6/2022,11:40 PM
125,WEM0401062,WEM3,1,41,41,1641.062,,,0.707987891,0.708096668,8.87E-05,0.000177315,2.268862118,40,10,25,77,9/6/2022,11:40 PM
126,WEM0401062,WEM3,1,42,42,1688.635,,,0.707730268,0.707839005,0.000107646,0.000215292,2.56387592,40,10,25,77,9/6/2022,11:40 PM
127,WEM0401062,WEM3,1,43,43,1736.662,,,0.707781187,0.707889932,7.10E-05,0.000142087,2.759166454,40,10,25,77,9/6/2022,11:40 PM
128,WEM0401062,WEM3,1,44,44,1777.892,,,0.707853728,0.707962485,8.32E-05,0.000166381,3.146630593,40,10,25,77,9/6/2022,11:40 PM
129,WEM0401062,WEM3,1,45,45,1816.404,,,0.707840363,0.707949117,8.43E-05,0.000168682,3.172303971,40,10,25,77,9/6/2022,11:40 PM
130,WEM0401062,WEM3,1,46,46,1858.994,,,0.707878657,0.707987417,5.60E-05,0.000112014,3.193871303,40,10,25,77,9/6/2022,11:40 PM
131,WEM0401053,WEM4,1,1,1,4.984,,,0.707952094,0.708060865,0.000126826,0.000253653,1.744460297,40,10,25,77,9/7/2022,12:05 AM
132,WEM0401053,WEM4,1,2,2,39.871,,,0.707815837,0.707924587,0.000113984,0.000227968,2.214061829,40,10,25,77,9/7/2022,12:05 AM
133,WEM0401053,WEM4,1,3,3,83.367,,,0.707767018,0.707875761,9.24E-05,0.000184713,2.281935981,40,10,25,77,9/7/2022,12:05 AM
134,WEM0401053,WEM4,1,4,4,122.785,,,0.708039983,0.708148768,8.35E-05,0.000167043,2.4183385,40,10,25,77,9/7/2022,12:05 AM
135,WEM0401053,WEM4,1,5,5,167.64,,,0.707992798,0.708101576,7.31E-05,0.000146292,2.261117611,40,10,25,77,9/7/2022,12:05 AM
136,WEM0401053,WEM4,1,6,6,209.324,,,0.707939424,0.708048193,0.000100344,0.000200687,2.730890759,40,10,25,77,9/7/2022,12:05 AM
137,WEM0401053,WEM4,1,7,7,247.836,,,0.707806055,0.707914804,0.000106456,0.000212911,2.949363384,40,10,25,77,9/7/2022,12:05 AM
138,WEM0401053,WEM4,1,8,8,295.409,,,0.707664235,0.707772962,7.65E-05,0.000152923,2.683438832,40,10,25,77,9/7/2022,12:05 AM
139,WEM0401053,WEM4,1,9,9,338.452,,,0.707804247,0.707912995,7.28E-05,0.000145589,2.600704899,40,10,25,77,9/7/2022,12:05 AM
140,WEM0401053,WEM4,1,10,10,377.87,,,0.707808436,0.707917185,7.75E-05,0.000155025,2.505430122,40,10,25,77,9/7/2022,12:05 AM
141,WEM0401053,WEM4,1,11,11,420.46,,,0.707916178,0.708024944,6.82E-05,0.000136397,2.482060367,40,10,25,77,9/7/2022,12:05 AM
142,WEM0401053,WEM4,1,12,12,457.612,,,0.707823383,0.707932135,7.27E-05,0.000145411,2.892119545,40,10,25,77,9/7/2022,12:05 AM
143,WEM0401053,WEM4,1,13,13,510.623,,,0.707752536,0.707861276,7.02E-05,0.000140354,3.117442017,40,10,25,77,9/7/2022,12:05 AM
144,WEM0401053,WEM4,1,14,14,549.135,,,0.708048581,0.708157367,9.43E-05,0.000188575,2.906578175,40,10,25,77,9/7/2022,12:05 AM
145,WEM0401053,WEM4,1,15,15,610.754,,,0.707748899,0.707857639,8.74E-05,0.000174747,2.430248308,40,10,25,77,9/7/2022,12:05 AM
146,WEM0401053,WEM4,1,16,16,673.279,,,0.707784963,0.707893709,9.55E-05,0.000190975,2.650274089,40,10,25,77,9/7/2022,12:05 AM
147,WEM0401053,WEM4,1,17,17,705.448,age 1,,0.707852013,0.707960769,9.47E-05,0.00018943,2.44358432,40,10,25,77,9/7/2022,12:05 AM
148,WEM0401053,WEM4,1,18,18,746.678,,,0.707695786,0.707804518,5.38E-05,0.000107652,2.956232348,40,10,25,77,9/7/2022,12:05 AM
149,WEM0401053,WEM4,1,19,19,793.346,,,0.707789842,0.707898589,0.000114373,0.000228747,2.392272455,40,10,25,77,9/7/2022,12:05 AM
150,WEM0401053,WEM4,1,20,20,825.515,,,0.70782119,0.707929941,7.78E-05,0.000155629,2.208078555,40,10,25,77,9/7/2022,12:05 AM
151,WEM0401053,WEM4,1,21,21,854.059,,,0.707582459,0.707691173,7.26E-05,0.000145233,2.29347795,40,10,25,77,9/7/2022,12:05 AM
152,WEM0401053,WEM4,1,22,22,891.212,,,0.707829294,0.707938047,8.57E-05,0.00017133,2.465385983,40,10,25,77,9/7/2022,12:05 AM
153,WEM0401053,WEM4,1,23,23,930.63,,,0.707737493,0.707846232,9.09E-05,0.00018175,2.239611293,40,10,25,77,9/7/2022,12:05 AM
154,WEM0401053,WEM4,1,24,24,966.423,,,0.707852354,0.70796111,6.56E-05,0.000131222,2.145187461,40,10,25,77,9/7/2022,12:05 AM
155,WEM0401053,WEM4,1,25,25,1009.466,,,0.707866839,0.707975597,7.93E-05,0.000158631,2.092209205,40,10,25,77,9/7/2022,12:05 AM
